uf,total_pessoas,idade_media
SP,382878,55.10434916605289
RJ,120443,57.903041272635186
MG,77025,53.43332684193444
BA,48382,57.232400479517175
PE,40145,55.184904720388595
RS,39544,55.58236394901881
PR,39130,54.69430104778942
CE,28791,54.24653537563822
GO,27952,55.2388022323984
SC,23955,55.10932999373826
PA,18956,56.48269677147078
MS,15588,56.44662560944316
DF,14467,55.61899495403332
MT,13953,58.5777968895578
MA,13782,56.14475402699173
PB,12713,54.59128451191693
ES,12548,55.99681224099458
RN,12469,57.08300585451921
AM,9613,53.96910433787579
SE,8313,55.590881751473596
AL,8135,55.90633066994469
Desconhecido,8076,48.99938088162457
PI,6972,57.83476764199656
TO,4326,58.06356911696717
RO,4240,56.67877358490566
AP,3637,60.915039868023094
AC,2083,59.65770523283725
RR,1884,58.518577494692146
