uf,cidade,total_quedas_30d
SP,SAO PAULO,9178
RJ,RIO DE JANEIRO,5155
BA,SALVADOR,2286
SP,Sao Paulo,1557
PE,RECIFE,1475
CE,FORTALEZA,1405
DF,BRASILIA,1371
RJ,Rio de Janeiro,1257
RJ,SAO GONCALO,1025
SP,NAO INFORMADO,998
RS,PORTO ALEGRE,981
MG,BELO HORIZONTE,870
SP,CAMPINAS,756
GO,GOIANIA,739
RJ,SAO JOAO DE MERITI,722
BA,Salvador,711
AM,MANAUS,645
PR,CURITIBA,642
PA,BELEM,628
MG,UBERLANDIA,618
MG,Uberlandia,615
ES,VILA VELHA,614
MG,CONTAGEM,610
SP,OSASCO,604
SP,SUZANO,593
Desconhecido,Desconhecido,585
MT,CUIABA,562
SP,GUARULHOS,560
SP,SOROCABA,551
SP,BAURU,507
RJ,NOVA IGUACU,507
RJ,DUQUE DE CAXIAS,503
AL,MACEIO,477
SP,RIBEIRAO PRETO,471
SP,SAO JOSE DOS CAMPOS,454
SP,TAUBATE,439
SP,PIRACICABA,405
MA,SAO LUIS,391
SP,SANTO ANDRE,389
RJ,NITEROI,373
RN,NATAL,369
AP,MACAPA,367
SP,MARILIA,366
SP,BARUERI,365
DF,Brasilia,350
ES,VITORIA,347
PI,TERESINA,344
MS,CAMPO GRANDE,339
SP,SUMARE,337
MG,IBIRITE,333
SP,SAO BERNARDO DO CAMP,332
MG,JUIZ DE FORA,325
PR,LONDRINA,320
PE,JABOATAO DOS GUARARAPES,309
SP,MAUA,297
SP,SAO JOSE DO RIO PRETO,294
PE,PAULISTA,290
RJ,VOLTA REDONDA,287
PB,JOAO PESSOA,286
RJ,CABO FRIO,283
PE,IGARASSU,281
PE,Recife,280
SP,MOGI DAS CRUZES,272
SP,SANTOS,270
RN,Natal,266
PE,OLINDA,266
SE,ARACAJU,266
SP,SAO VICENTE,262
SP,SO PAULO,261
MG,BETIM,259
SP,TABOAO DA SERRA,259
RS,SAPUCAIA DO SUL,255
MT,VARZEA GRANDE,245
SP,HORTOLANDIA,237
RN,PARNAMIRIM,236
SP,SAO BERNARDO DO CAMPO,236
SP,SP,236
RS,PELOTAS,233
SP,GUARUJA,224
MG,RIBEIRAO DAS NEVES,224
SP,JANDIRA,223
PB,CAMPINA GRANDE,222
PA,ALTAMIRA,221
SP,SERTAOZINHO,221
MG,Belo Horizonte,220
SP,PRAIA GRANDE,219
PR,SAO JOSE DOS PINHAIS,219
SC,JOINVILLE,217
RJ,ITABORAI,215
CE,MARACANAU,213
MG,MONTES CLAROS,209
CE,SOBRAL,208
SP,SAO JOSE DO RIO PRET,206
BA,SIMOES FILHO,206
SP,FRANCA,206
RS,CANOAS,205
PE,CARPINA,205
RJ,MACAE,201
SP,SAO CARLOS,200
RS,RIO GRANDE,199
ES,SERRA,199
SP,LIMEIRA,197
RS,GRAVATAI,197
SP,SERRANA,193
RS,Porto Alegre,192
PA,Belem,191
ES,Vitoria,190
GO,Catalao,186
MG,GOVERNADOR VALADARES,183
GO,VALPARAISO DE GOIAS,178
CE,Fortaleza,177
SP,EMBU DAS ARTES,175
SP,RIO CLARO,173
AL,MCHAL DEODORO,168
SP,UBATUBA,167
SP,INDAIATUBA,167
PA,Benevides,166
GO,APARECIDA DE GOIANIA,166
MG,UBERABA,164
MG,JUATUBA,163
SP,PRESIDENTE PRUDENTE,161
SP,Sorocaba,158
RJ,SÃO GONÇALO,157
RN,MOSSORO,157
SP,JUNDIAI,156
SP,Guarulhos,153
MS,DOURADOS,152
SP,CARAPICUIBA,151
SP,ARARAQUARA,151
DF,CEILANDIA,151
MG,SETE LAGOAS,151
CE,JUAZEIRO DO NORTE,147
SP,MAIRIPORA,146
SP,ITAPECERICA DA SERRA,145
RJ,TERESOPOLIS,145
SP,Sao Jose dos Campos,144
RS,SAO LEOPOLDO,144
PE,JABOATAO DOS GUARARA,142
SP,SAO CAETANO DO SUL,141
PA,ANANINDEUA,140
SP,ARACATUBA,140
SP,NOVA ODESSA,139
SC,ITAJAI,139
PR,MARINGA,139
SP,LINS,138
MG,PASSOS,137
MG,IPATINGA,137
SP,Cruzeiro,136
SP,VALINHOS,135
SP,VOTUPORANGA,134
MG,VESPASIANO,133
PR,FAZENDA RIO GRANDE,133
SC,PALHOCA,133
RJ,MESQUITA,133
SC,SAO JOSE,132
BA,FEIRA DE SANTANA,132
SP,VOTORANTIM,131
AM,Manaus,130
GO,ANAPOLIS,129
CE,Maracanau,129
MT,RONDONOPOLIS,127
PR,CASCAVEL,127
SP,So Paulo,127
PA,FRUTAL,126
SP,RIBEIRAO PIRES,124
SP,JACAREI,124
SP,Jundiai,123
SP,ITAPEVI,123
MG,TRES CORACOES,122
SC,LAGES,122
PR,PONTA GROSSA,122
SP,PORTO ALEGRE,120
SP,CAMPOS JORDAO,120
PE,CARUARU,120
PE,UBERLANDIA,119
SP,SALTO,119
SP,DIADEMA,118
PE,IPOJUCA,118
SP,Mongagua,118
SP,SÃO PAULO,118
RJ,MAGE,116
GO,RIO VERDE,114
SP,JAU,114
SP,BOTUCATU,114
SP,Osasco,113
SP,Santo Andre,113
SP,SALVADOR,113
RJ,PETROPOLIS,113
BA,ALAGOINHAS,113
RJ,SO GONALO,112
MG,MATIAS BARBOSA,112
MG,SARZEDO,111
BA,CAMACARI,110
SP,MAIRINQUE,110
SC,JARAGUA DO SUL,110
ES,CARIACICA,107
PR,GUARAPUAVA,106
SP,GUARIBA,106
SC,BLUMENAU,105
RJ,CAMPOS DOS GOYTACAZES,105
SP,CARAGUATATUBA,104
SP,UBERLANDIA,104
RJ,Nova Iguacu,104
RJ,Niteroi,102
PI,Teresina,102
SP,ITAQUAQUECETUBA,102
RJ,NILOPOLIS,101
GO,CIDADE OCIDENTAL,100
SC,FLORIANOPOLIS,99
SP,FRANCO DA ROCHA,98
BA,Lauro de Freitas,98
MS,Ponta Pora,98
AC,RIO BRANCO,97
RJ,RIO DAS OSTRAS,97
RJ,BELFORD ROXO,96
MS,Campo Grande,95
SP,ARARAS,94
RS,ESTEIO,94
